time	V(n003)
4.831585300478616e-002	1.661121e+000
4.839397800478616e-002	1.544175e+000
4.847210300478616e-002	1.427237e+000
4.855022800478616e-002	1.310309e+000
4.862835300478616e-002	1.193390e+000
4.878460300478615e-002	9.595799e-001
4.894085300478615e-002	7.258060e-001
4.917522800478615e-002	3.752137e-001
4.928683514764329e-002	2.082939e-001
4.939844229050042e-002	4.139276e-002
4.951004943335757e-002	-1.254898e-001
4.962165657621471e-002	-2.923537e-001
4.973326371907185e-002	-4.591989e-001
4.984487086192899e-002	-6.260255e-001
4.995647800478613e-002	-7.928334e-001
5.011272800478613e-002	-1.026333e+000
5.024665657621470e-002	-1.226447e+000
5.038058514764326e-002	-1.426534e+000
5.051451371907183e-002	-1.626594e+000
5.064844229050040e-002	-1.826627e+000
5.078237086192897e-002	-2.026633e+000
5.091629943335754e-002	-2.226613e+000
5.105022800478611e-002	-2.426566e+000
5.113951371907182e-002	-2.559895e+000
5.122879943335753e-002	-2.693155e+000
5.131808514764324e-002	-2.826344e+000
5.140737086192895e-002	-2.959464e+000
5.149665657621467e-002	-3.092515e+000
5.158594229050038e-002	-3.225495e+000
5.167522800478609e-002	-3.358406e+000
5.175335300478609e-002	-3.474495e+000
5.183147800478609e-002	-3.590426e+000
5.184124362978609e-002	-3.604895e+000
5.186077487978609e-002	-3.633797e+000
5.186565769228609e-002	-3.641017e+000
5.187542331728609e-002	-3.655445e+000
5.187786472353609e-002	-3.659049e+000
5.188274753603609e-002	-3.666253e+000
5.188396823916109e-002	-3.668053e+000
5.188640964541109e-002	-3.671652e+000
5.188701999697359e-002	-3.672551e+000
5.188824070009859e-002	-3.674350e+000
5.188922805955663e-002	-3.675805e+000
5.188999920265924e-002	-3.676942e+000
5.189054637894806e-002	-3.677751e+000
5.189098084259025e-002	-3.678397e+000
5.189130717102532e-002	-3.678887e+000
5.189157907125844e-002	-3.679307e+000
5.189178338447705e-002	-3.679642e+000
5.189192285683338e-002	-3.679901e+000
5.189201862009128e-002	-3.680124e+000
5.189209249607297e-002	-3.680365e+000
5.189215761627123e-002	-3.680690e+000
5.189222273710364e-002	-3.681193e+000
5.189229831018756e-002	-3.682037e+000
5.189237434941511e-002	-3.683291e+000
5.189246735317785e-002	-3.685673e+000
5.189255192374996e-002	-3.689058e+000
5.189264171358277e-002	-3.694023e+000
5.189269672108157e-002	-3.697448e+000
5.189274304142463e-002	-3.699805e+000
5.189280137387985e-002	-3.701312e+000
5.189286034391958e-002	-3.701634e+000
5.189299185850956e-002	-3.701531e+000
5.189320169566983e-002	-3.701670e+000
5.189335526138302e-002	-3.701668e+000
5.189366239280939e-002	-3.695244e+000
5.189374251460958e-002	-3.687473e+000
5.189381542089868e-002	-3.679040e+000
5.189383108329005e-002	-3.678645e+000
5.189385539587253e-002	-3.679410e+000
5.189386879158683e-002	-3.679801e+000
5.189388376431600e-002	-3.680149e+000
5.189390202103029e-002	-3.680436e+000
5.189392204431714e-002	-3.680595e+000
5.189394950837260e-002	-3.680634e+000
5.189398531178980e-002	-3.680548e+000
5.189405852271868e-002	-3.680309e+000
5.189409981367624e-002	-3.680220e+000
5.189430973112623e-002	-3.679882e+000
5.189451964857622e-002	-3.679549e+000
5.189472956602621e-002	-3.679220e+000
5.189493948347620e-002	-3.678895e+000
5.189514940092618e-002	-3.678575e+000
5.189535931837618e-002	-3.678260e+000
5.189556923582616e-002	-3.677948e+000
5.189750272019241e-002	-3.675045e+000
5.189943620455867e-002	-3.672143e+000
5.190136968892492e-002	-3.669242e+000
